incidents_00_14,incidents_85_99,Year,Crashes
231,402,1985,39196
231,402,1986,41090
231,402,1987,41438
231,402,1988,42130
231,402,1989,40741
231,402,1990,39836
231,402,1991,36937
231,402,1992,34942
231,402,1993,35780
231,402,1994,36254
231,402,1995,37241
231,402,1996,37494
231,402,1997,37324
231,402,1998,37107
231,402,1999,37140
231,402,2000,37526
231,402,2001,37862
231,402,2002,38491
231,402,2003,38477
231,402,2004,38444
231,402,2005,39252
231,402,2006,38648
231,402,2007,37435
231,402,2008,34172
231,402,2009,30862
231,402,2010,30296
231,402,2011,29867
231,402,2012,31006
231,402,2013,30203
231,402,2014,30056
